productName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL 
 ASUS Chromebook Celeron Dual Core N4500,4,3,0,20990,35990,Intel Celeron Dual Core Processor,LPDDR4X RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/v/cx1500cka-ej0277-thin-and-light-laptop-asus-original-imagszagza5bdjmg.jpeg?q=70 
 Lenovo V15 Ryzen 3 Quad Core 7320U,4.2,18,1,33990,39157,AMD Ryzen 3 Quad Core Processor,LPDDR5 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/d/o/v15-g4-thin-and-light-laptop-lenovo-original-imagq57gsgyxxasy.jpeg?q=70 
 Lenovo IdeaPad 1 Celeron Dual Core N4020,3.6,41,6,25990,38490,Intel Celeron Dual Core Processor,DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/j/o/14igl7-thin-and-light-laptop-lenovo-original-imagqtsdgfwcwgbz.jpeg?q=70 
 Acer Swift Go 14 Ryzen 5 Hexa Core 7530U,0,0,0,49990,70999,AMD Ryzen 5 Hexa Core Processor,LPDDR4X RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/a/a/-original-imagnc62xqsfpz7q.jpeg?q=70 
 DELL Vostro 3420 Business Laptop Core i5 11th Gen,4.4,5,0,49990,69226,Intel Core i5 Processor (11th Gen),LPDDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/q/6/vostro-business-laptop-dell-original-imagqhhtappqd3ae.jpeg?q=70 
 ASUS Vivobook 15 OLED (2022) Core i3 12th Gen 1215U,4.4,237,42,46990,66990,Intel Core i3 Processor (12th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/b/3/-original-imagpxgq8byxzdgn.jpeg?q=70 
 Acer Extensa Core i3 N305,0,0,0,32990,49990,Intel Core i3 Processor,LPDDR5 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70 
 Acer One Core i3 11th Gen 1115G4,4.1,876,95,26990,41999,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/u/0/-original-imagqyfdvgcwc54x.jpeg?q=70 
 ASUS Vivobook 15 Core i5 12th Gen 1235U,4,179,19,48990,70990,Intel Core i5 Processor (12th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/t/b/-original-imagpxgqjeghkq7b.jpeg?q=70 
 ASUS Chromebook Celeron Dual Core N4500,0,0,0,19990,35990,Intel Celeron Dual Core Processor,LPDDR4X RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/v/cx1500cka-ej0277-thin-and-light-laptop-asus-original-imagszagza5bdjmg.jpeg?q=70 
 HP 360 Intel Celeron Dual Core N4020,3.8,371,38,23990,32295,Intel Celeron Dual Core Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/computer/p/m/9/14a-ca0506tu-thin-and-light-laptop-hp-original-imagbmtfbpbkvyqz.jpeg?q=70 
 ASUS Vivobook 14 Core i3 11th Gen 1115G4,4.6,34,4,34990,50990,Intel Core i3 Processor (11th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/g/j/-original-imags36gxhduzskg.jpeg?q=70 
 MSI Core i5 12th Gen 12450H,4.2,69,11,49990,64990,Intel Core i5 Processor (12th Gen),DDR4 RAM,16 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/r/2/-original-imagtczhgrjya4hv.jpeg?q=70 
 Lenovo ThinkBook 15 Core i5 12th Gen 1235U,3.8,45,9,49990,64029,Intel Core i5 Processor (12th Gen),DDR4 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/c/g/tb15-g4-iap-thin-and-light-laptop-lenovo-original-imagpjfbryrdvhcy.jpeg?q=70 
 HP intel Celeron Dual Core N4500,3.7,252,30,21990,30001,Intel Celeron Dual Core Processor,LPDDR4 RAM,4 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/p/a/chromebook-chromebook-hp-original-imagkwj8tahdykbd.jpeg?q=70 
 ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U,4.3,337,52,41990,61990,AMD Ryzen 3 Quad Core Processor,LPDDR5 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/k/k/-original-imagpxgru35rbzwz.jpeg?q=70 
 ASUS Vivobook Go 14 Ryzen 5 Quad Core 7520U,0,0,0,45280,62990,AMD Ryzen 5 Quad Core Processor,LPDDR5 RAM,8 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/u/s/e1404ga-nk323ws-thin-and-light-laptop-asus-original-imagzhr8pge5fsjs.jpeg?q=70 
